.                         fiat_montgomery32  fiat_montgomery64  fiat_solinas32  fiat_solinas64  gmpsec  gmpvar  gmpxx
2^127-1                   0.12               0.04               0.05            0.02            0.27    0.15    0.61
2^129-25                  0.19               0.08               0.06            0.03            0.38    0.27    0.79
2^130-5                   -                  -                  0.03            0.03            0.38    0.27    0.78
2^137-13                  0.2                0.09               0.11            0.05            0.38    0.27    0.81
2^140-27                  0.2                0.08               0.06            0.04            0.38    0.27    0.81
2^141-9                   0.2                0.08               0.06            0.03            0.38    0.27    0.81
2^150-3                   0.2                0.08               -               0.03            0.38    0.27    0.8
2^150-5                   0.2                0.09               0.06            0.03            0.38    0.27    0.81
2^152-17                  0.19               0.09               0.06            0.04            0.38    0.27    0.8
2^158-15                  0.2                0.08               0.06            0.04            0.38    0.27    0.76
2^165-25                  -                  0.08               0.11            0.03            0.38    0.27    0.79
2^166-5                   -                  0.08               0.16            0.03            0.38    0.27    0.78
2^171-19                  0.28               0.08               0.12            0.03            0.38    0.27    0.79
2^174-17                  0.28               0.08               0.12            0.03            0.38    0.27    0.78
2^174-3                   0.29               0.08               -               0.03            0.38    0.27    0.78
2^189-25                  0.28               0.08               -               0.04            0.38    0.28    0.79
2^190-11                  0.29               0.08               -               0.04            0.38    0.27    0.78
2^191-19                  0.28               0.08               0.15            0.07            0.36    0.26    0.77
2^192-2^64-1              0.27               0.08               -               0.05            0.28    0.24    0.71
2^194-33                  -                  -                  0.09            0.04            0.5     0.35    0.93
2^196-15                  -                  -                  -               0.04            0.5     0.34    0.87
2^198-17                  -                  -                  0.11            0.04            0.5     0.34    0.86
2^205-45*2^198-1          0.36               0.13               -               -               0.49    0.34    0.84
2^206-5                   0.37               0.13               0.19            0.04            0.5     0.34    0.86
2^212-29                  0.38               0.13               -               0.05            0.5     0.35    0.88
2^213-3                   0.37               0.13               0.28            0.04            0.5     0.35    0.88
2^216-2^108-1             0.38               0.12               0.08            0.04            0.5     0.35    0.86
2^221-3                   0.38               0.13               0.13            0.04            0.5     0.35    0.88
2^222-117                 0.37               0.13               0.13            0.05            0.5     0.34    0.88
2^224-2^96+1              0.32               0.12               -               -               0.5     0.35    0.86
2^226-5                   -                  0.12               -               0.04            0.5     0.34    0.9
2^230-27                  -                  0.13               0.13            0.05            0.49    0.34    0.88
2^235-15                  -                  0.13               0.1             0.07            0.5     0.34    0.88
2^243-9                   -                  0.12               0.1             0.1             0.5     0.34    0.89
2^251-9                   -                  0.13               0.13            0.06            0.5     0.35    0.9
2^254-127*2^240-1         -                  0.13               -               -               0.5     0.35    0.9
2^255-19                  -                  0.13               0.13            0.06            0.48    0.33    0.87
2^255-2^4-2^1-1           -                  0.13               -               0.07            0.47    0.33    0.88
2^255-765                 -                  0.13               0.19            0.06            0.47    0.33    0.87
2^256-189                 -                  0.13               0.18            0.06            0.38    0.34    0.85
2^256-2^224+2^192+2^96-1  -                  0.11               -               -               0.37    0.33    0.85
2^256-2^32-977            -                  0.13               0.19            -               0.37    0.34    0.86
2^256-88*2^240-1          -                  0.12               -               -               0.37    0.34    0.86
2^266-3                   -                  0.18               0.19            0.06            0.64    0.43    0.98
2^285-9                   -                  0.19               0.27            0.06            0.65    0.43    0.97
2^291-19                  -                  0.19               0.18            0.07            0.64    0.43    0.99
2^321-9                   -                  0.25               0.3             0.1             0.8     0.52    1.16
2^322-2^161-1             -                  -                  0.21            -               0.81    0.52    1.13
2^336-17                  -                  0.25               0.23            0.1             0.8     0.53    1.07
2^336-3                   -                  0.27               -               0.1             0.81    0.53    1.06
2^338-15                  -                  0.27               0.2             0.1             0.79    0.53    1.06
2^369-25                  -                  0.27               0.29            0.15            0.79    0.53    1.06
2^379-19                  -                  0.28               -               0.13            0.8     0.53    1.07
2^382-105                 -                  0.27               -               0.23            0.81    0.53    1.08
2^383-187                 -                  0.27               -               -               0.75    0.5     1.04
2^383-31                  -                  0.27               -               -               0.76    0.5     1.04
2^383-421                 -                  0.27               -               -               0.76    0.5     1.03
2^384-2^128-2^96+2^32-1   -                  0.26               -               -               0.63    0.47    0.97
2^384-317                 -                  0.26               -               0.15            0.63    0.46    0.96
2^384-5*2^368-1           -                  0.23               -               -               0.62    0.46    0.97
2^384-79*2^376-1          -                  0.23               -               -               0.62    0.46    0.96
2^389-21                  -                  -                  -               -               0.96    0.59    1.18
2^401-31                  -                  0.35               0.3             0.15            0.97    0.6     1.16
2^413-21                  -                  -                  -               -               0.97    0.61    1.17
2^414-17                  -                  0.35               -               0.2             0.96    0.6     1.16
2^416-2^208-1             -                  0.35               0.25            0.12            0.96    0.6     1.17
2^444-17                  -                  0.35               -               0.16            0.96    0.6     1.17
2^448-2^224-1             -                  0.32               -               0.12            0.77    0.53    1.05
2^450-2^225-1             -                  -                  -               0.12            1.17    0.69    1.34
2^452-3                   -                  -                  -               0.16            1.17    0.68    1.29
2^468-17                  -                  -                  -               0.17            1.17    0.69    1.26
2^480-2^240-1             -                  -                  -               0.15            1.17    0.69    1.27
2^488-17                  -                  -                  -               0.55            1.16    0.69    1.27
2^489-21                  -                  -                  -               0.2             1.17    0.69    1.27
2^495-31                  -                  -                  -               0.19            1.16    0.69    1.29
2^510-290*2^496-1         -                  -                  -               -               1.17    0.69    1.26
2^511-187                 -                  -                  -               0.24            1.11    0.65    1.22
2^511-481                 -                  -                  -               0.24            1.11    0.65    1.21
2^512-491*2^496-1         -                  -                  -               -               0.95    0.63    1.15
2^512-569                 -                  -                  -               0.24            0.96    0.62    1.14
2^521-1                   -                  -                  -               0.25            1.41    0.81    1.39
