prime,"UnsaturatedSolinas x32 GallinaAxComputedOf with cbv (0) (real, s)","UnsaturatedSolinas x32 GallinaAxComputedOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x32 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 GallinaDefOf with cbv_no_rt (0) (real, s)","UnsaturatedSolinas x32 PipelineArithOf with cbv (0) (real, s)","UnsaturatedSolinas x32 PipelineArithOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 PipelineFlatArithOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x32 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x32 PipelineFullOf with cbv (0) (real, s)","UnsaturatedSolinas x32 PipelineFullOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 PipelineFullToStringsOf with cbv (0) (real, s)","UnsaturatedSolinas x32 PipelineFullToStringsOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x32 PipelineFullToStringsOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 PipelineNBEOf with cbv (0) (real, s)","UnsaturatedSolinas x32 PipelineNBEOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaAxComputedOf with cbv (0) (real, s)","UnsaturatedSolinas x64 GallinaAxComputedOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaDefOf with cbv_no_rt (0) (real, s)","UnsaturatedSolinas x64 PipelineArithOf with cbv (0) (real, s)","UnsaturatedSolinas x64 PipelineArithOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineFlatArithOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFullOf with cbv (0) (real, s)","UnsaturatedSolinas x64 PipelineFullOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineFullToStringsOf with cbv (0) (real, s)","UnsaturatedSolinas x64 PipelineFullToStringsOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFullToStringsOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineNBEOf with cbv (0) (real, s)","UnsaturatedSolinas x64 PipelineNBEOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x32 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x32 GallinaDefOf with cbv_no_rt (real, s)","WordByWordMontgomery x32 PipelineArithOf with cbv (real, s)","WordByWordMontgomery x32 PipelineArithOf with vm_compute (real, s)","WordByWordMontgomery x32 PipelineFlatArithOf with extraction OCaml (real, s)","WordByWordMontgomery x32 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x32 PipelineFullOf with cbv (real, s)","WordByWordMontgomery x32 PipelineFullOf with vm_compute (real, s)","WordByWordMontgomery x32 PipelineFullToStringsOf with cbv (real, s)","WordByWordMontgomery x32 PipelineFullToStringsOf with extraction OCaml (real, s)","WordByWordMontgomery x32 PipelineFullToStringsOf with vm_compute (real, s)","WordByWordMontgomery x32 PipelineNBEOf with cbv (real, s)","WordByWordMontgomery x32 PipelineNBEOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaAxComputedOf with cbv (real, s)","WordByWordMontgomery x64 GallinaAxComputedOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x64 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaDefOf with cbv_no_rt (real, s)","WordByWordMontgomery x64 PipelineArithOf with cbv (real, s)","WordByWordMontgomery x64 PipelineArithOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineFlatArithOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFullOf with cbv (real, s)","WordByWordMontgomery x64 PipelineFullOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineFullToStringsOf with cbv (real, s)","WordByWordMontgomery x64 PipelineFullToStringsOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFullToStringsOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineNBEOf with cbv (real, s)","WordByWordMontgomery x64 PipelineNBEOf with vm_compute (real, s)"
170141183460469231731687303715884105727,1.178,0.206,0.845,0.033,0.767,2.996,0.177,0.023958,0.026762,4.102,0.24,5.123,0.061690,0.254,3.534,0.162,0.429,0.162,0.383,0.012,0.283,1.145,0.08,0.011513,0.012674,1.586,0.092,2.124,0.029616,0.135,1.199,0.082,4.746,0.19,3.84,15.942,0.894,0.103939,0.088463,19.148,1.117,19.822,0.274789,1.118,22.831,0.939,0.523,0.233,0.522,0.023,0.47,1.69,0.119,0.018930,0.019355,2.439,0.145,2.849,0.055627,0.162,2.028,0.105
680564733841876926926749214863536422887,1.187,0.205,0.85,0.034,0.778,2.975,0.179,0.023876,0.024912,4.03,0.234,5.316,0.054751,0.271,3.424,0.179,0.427,0.164,0.358,0.012,0.293,1.189,0.085,0.009884,0.010282,1.621,0.093,2.188,0.025667,0.153,1.272,0.071,12.3,0.598,11.798,44.023,2.208,0.262463,0.214810,45.809,2.45,47.417,0.470204,2.673,66.199,2.127,4.513,0.46,3.312,0.139,3.118,7.368,0.437,0.042037,0.040220,9.825,0.538,10.598,0.108086,0.552,9.527,0.428
1361129467683753853853498429727072845819,1.18,0.198,0.862,0.033,0.794,2.992,0.165,0.018399,0.019042,4.002,0.241,5.269,0.040459,0.273,3.496,0.182,0.436,0.167,0.393,0.012,0.292,1.138,0.093,0.011059,0.011426,1.594,0.094,2.169,0.029452,0.148,1.195,0.074,11.949,0.605,11.82,42.823,2.168,0.279114,0.223690,44.843,2.524,46.265,0.556658,2.619,61.252,2.155,4.467,0.466,3.24,0.138,3.043,7.253,0.445,0.044928,0.041017,9.74,0.549,10.471,0.105240,0.555,9.535,0.44
174224571863520493293247799005065324265459,2.001,0.235,1.401,0.055,1.328,4.492,0.261,0.025082,0.025786,6.02,0.345,8.121,0.059261,0.418,5.,0.271,0.474,0.164,0.387,0.013,0.32,1.205,0.09,0.007196,0.007498,1.706,0.095,2.276,0.017492,0.132,1.279,0.078,12.457,0.598,12.42,41.9,2.173,0.276612,0.226458,45.012,2.514,46.004,0.564933,2.593,60.768,2.112,4.51,0.459,3.235,0.137,3.234,7.202,0.443,0.047610,0.041168,9.779,0.525,10.589,0.103635,0.555,9.056,0.462
1393796574908163946345982392040522594123749,2.017,0.248,1.471,0.057,1.385,4.623,0.258,0.025282,0.024220,6.169,0.351,8.261,0.046300,0.423,5.324,0.274,0.5,0.157,0.4,0.014,0.328,1.186,0.087,0.006780,0.006821,1.667,0.096,2.26,0.016172,0.15,1.227,0.071,11.934,0.608,11.776,43.012,2.141,0.266343,0.211079,45.383,2.518,46.92,0.463596,2.651,64.588,2.164,4.524,0.467,3.272,0.138,3.059,7.329,0.441,0.047701,0.040161,9.765,0.539,10.535,0.098905,0.598,9.377,0.436
2787593149816327892691964784081045188247543,2.031,0.245,1.406,0.058,1.406,4.576,0.264,0.025356,0.023581,6.212,0.346,8.248,0.049701,0.392,5.311,0.28,0.487,0.163,0.391,0.014,0.333,1.213,0.075,0.011815,0.011475,1.728,0.096,2.346,0.030270,0.131,1.274,0.08,11.958,0.608,11.866,43.056,2.125,0.281978,0.214536,45.418,2.46,46.564,0.546590,2.594,64.454,2.166,4.533,0.459,3.088,0.137,3.214,7.229,0.413,0.047206,0.040299,9.752,0.539,10.61,0.093379,0.556,9.061,0.439
1427247692705959881058285969449495136382746619,2.162,0.247,1.594,0.064,1.469,4.671,0.269,0.028168,0.030299,6.372,0.35,8.601,0.071490,0.429,5.295,0.284,0.535,0.163,0.417,0.015,0.363,1.217,0.074,0.007380,0.007721,1.758,0.098,2.372,0.018589,0.152,1.281,0.072,12.578,0.604,11.799,41.769,2.218,0.242082,0.201472,44.659,2.464,45.901,0.455835,2.663,60.935,2.104,4.627,0.458,3.228,0.138,3.106,7.294,0.431,0.045873,0.037616,9.783,0.54,10.537,0.100934,0.556,9.48,0.428
1427247692705959881058285969449495136382746621,2.157,0.253,1.584,0.063,1.467,4.688,0.269,0.022244,0.022245,6.432,0.354,8.57,0.046315,0.401,5.524,0.284,0.533,0.165,0.416,0.015,0.363,1.206,0.09,0.008159,0.008163,1.758,0.097,2.37,0.020834,0.166,1.273,0.072,11.889,0.595,11.86,43.883,2.239,0.240717,0.200006,45.474,2.472,46.868,0.464120,2.658,64.422,2.156,4.602,0.471,3.096,0.138,3.08,7.298,0.439,0.043105,0.040092,9.704,0.543,10.449,0.106997,0.591,9.245,0.413
5708990770823839524233143877797980545530986479,2.26,0.256,1.76,0.066,1.576,4.714,0.269,0.023616,0.024623,6.502,0.348,8.819,0.056830,0.451,5.322,0.293,0.547,0.164,0.438,0.016,0.383,1.245,0.083,0.007424,0.007789,1.79,0.098,2.426,0.018434,0.136,1.32,0.085,11.867,0.609,11.771,42.971,2.274,0.267743,0.220500,45.322,2.523,46.638,0.509240,2.651,64.934,2.164,4.58,0.463,3.246,0.137,3.124,7.267,0.432,0.042915,0.037790,9.759,0.526,10.468,0.091916,0.554,9.379,0.439
365375409332725729550921208179070754913983135729,2.441,0.264,1.735,0.07,1.637,4.851,0.274,0.024434,0.023565,6.736,0.366,9.126,0.048352,0.458,5.452,0.277,0.592,0.169,0.474,0.017,0.399,1.282,0.084,0.011735,0.012525,1.811,0.101,2.501,0.033865,0.138,1.348,0.086,11.904,0.597,12.417,43.15,2.238,0.232769,0.200417,45.208,2.528,46.694,0.419473,2.601,65.183,2.161,4.599,0.468,3.256,0.138,3.129,7.257,0.417,0.043147,0.043355,9.742,0.542,10.562,0.127106,0.594,9.151,0.434
