prime,"PipelineFlatNBEOf with extraction OCaml (real, s)","PipelineNBEOf with vm_compute (real, s)","GallinaAxOf with vm_compute (real, s)","GallinaAxOf with cbv (real, s)",extra info
170141183460469231731687303715884105727,0.026762,0.162,0.033,0.845,UnsaturatedSolinas x32 (0)
170141183460469231731687303715884105727,0.012674,0.082,0.012,0.383,UnsaturatedSolinas x64 (0)
170141183460469231731687303715884105727,0.088463,0.939,0.19,4.746,WordByWordMontgomery x32 
170141183460469231731687303715884105727,0.019355,0.105,0.023,0.522,WordByWordMontgomery x64 
680564733841876926926749214863536422887,0.024912,0.179,0.034,0.85,UnsaturatedSolinas x32 (0)
680564733841876926926749214863536422887,0.010282,0.071,0.012,0.358,UnsaturatedSolinas x64 (0)
680564733841876926926749214863536422887,0.214810,2.127,0.598,12.3,WordByWordMontgomery x32 
680564733841876926926749214863536422887,0.040220,0.428,0.139,3.312,WordByWordMontgomery x64 
1361129467683753853853498429727072845819,0.019042,0.182,0.033,0.862,UnsaturatedSolinas x32 (0)
1361129467683753853853498429727072845819,0.011426,0.074,0.012,0.393,UnsaturatedSolinas x64 (0)
1361129467683753853853498429727072845819,0.223690,2.155,0.605,11.949,WordByWordMontgomery x32 
1361129467683753853853498429727072845819,0.041017,0.44,0.138,3.24,WordByWordMontgomery x64 
174224571863520493293247799005065324265459,0.025786,0.271,0.055,1.401,UnsaturatedSolinas x32 (0)
174224571863520493293247799005065324265459,0.007498,0.078,0.013,0.387,UnsaturatedSolinas x64 (0)
174224571863520493293247799005065324265459,0.226458,2.112,0.598,12.457,WordByWordMontgomery x32 
174224571863520493293247799005065324265459,0.041168,0.462,0.137,3.235,WordByWordMontgomery x64 
1393796574908163946345982392040522594123749,0.024220,0.274,0.057,1.471,UnsaturatedSolinas x32 (0)
1393796574908163946345982392040522594123749,0.006821,0.071,0.014,0.4,UnsaturatedSolinas x64 (0)
1393796574908163946345982392040522594123749,0.211079,2.164,0.608,11.934,WordByWordMontgomery x32 
1393796574908163946345982392040522594123749,0.040161,0.436,0.138,3.272,WordByWordMontgomery x64 
2787593149816327892691964784081045188247543,0.023581,0.28,0.058,1.406,UnsaturatedSolinas x32 (0)
2787593149816327892691964784081045188247543,0.011475,0.08,0.014,0.391,UnsaturatedSolinas x64 (0)
2787593149816327892691964784081045188247543,0.214536,2.166,0.608,11.958,WordByWordMontgomery x32 
2787593149816327892691964784081045188247543,0.040299,0.439,0.137,3.088,WordByWordMontgomery x64 
1427247692705959881058285969449495136382746619,0.030299,0.284,0.064,1.594,UnsaturatedSolinas x32 (0)
1427247692705959881058285969449495136382746619,0.007721,0.072,0.015,0.417,UnsaturatedSolinas x64 (0)
1427247692705959881058285969449495136382746619,0.201472,2.104,0.604,12.578,WordByWordMontgomery x32 
1427247692705959881058285969449495136382746619,0.037616,0.428,0.138,3.228,WordByWordMontgomery x64 
1427247692705959881058285969449495136382746621,0.022245,0.284,0.063,1.584,UnsaturatedSolinas x32 (0)
1427247692705959881058285969449495136382746621,0.008163,0.072,0.015,0.416,UnsaturatedSolinas x64 (0)
1427247692705959881058285969449495136382746621,0.200006,2.156,0.595,11.889,WordByWordMontgomery x32 
1427247692705959881058285969449495136382746621,0.040092,0.413,0.138,3.096,WordByWordMontgomery x64 
5708990770823839524233143877797980545530986479,0.024623,0.293,0.066,1.76,UnsaturatedSolinas x32 (0)
5708990770823839524233143877797980545530986479,0.007789,0.085,0.016,0.438,UnsaturatedSolinas x64 (0)
5708990770823839524233143877797980545530986479,0.220500,2.164,0.609,11.867,WordByWordMontgomery x32 
5708990770823839524233143877797980545530986479,0.037790,0.439,0.137,3.246,WordByWordMontgomery x64 
365375409332725729550921208179070754913983135729,0.023565,0.277,0.07,1.735,UnsaturatedSolinas x32 (0)
365375409332725729550921208179070754913983135729,0.012525,0.086,0.017,0.474,UnsaturatedSolinas x64 (0)
365375409332725729550921208179070754913983135729,0.200417,2.161,0.597,11.904,WordByWordMontgomery x32 
365375409332725729550921208179070754913983135729,0.043355,0.434,0.138,3.256,WordByWordMontgomery x64 
46768052394588893382517914646921056628989841375207,0.031618,0.415,0.106,2.674,UnsaturatedSolinas x32 (0)
46768052394588893382517914646921056628989841375207,0.007388,0.096,0.018,0.504,UnsaturatedSolinas x64 (0)
46768052394588893382517914646921056628989841375207,0.463970,,1.437,31.022,WordByWordMontgomery x32 
46768052394588893382517914646921056628989841375207,0.037590,0.439,0.139,3.116,WordByWordMontgomery x64 
93536104789177786765035829293842113257979682750459,0.030113,0.388,0.107,2.661,UnsaturatedSolinas x32 (0)
93536104789177786765035829293842113257979682750459,0.008601,0.084,0.018,0.517,UnsaturatedSolinas x64 (0)
93536104789177786765035829293842113257979682750459,0.449813,,1.427,32.868,WordByWordMontgomery x32 
93536104789177786765035829293842113257979682750459,0.044747,0.417,0.139,3.266,WordByWordMontgomery x64 
2993155353253689176481146537402947624255349848014829,0.032105,0.42,0.113,2.891,UnsaturatedSolinas x32 (0)
2993155353253689176481146537402947624255349848014829,0.007272,0.096,0.019,0.542,UnsaturatedSolinas x64 (0)
2993155353253689176481146537402947624255349848014829,0.443877,,1.426,32.961,WordByWordMontgomery x32 
2993155353253689176481146537402947624255349848014829,0.042770,0.44,0.139,3.129,WordByWordMontgomery x64 
23945242826029513411849172299223580994042798784118767,0.034052,0.422,0.12,2.882,UnsaturatedSolinas x32 (0)
23945242826029513411849172299223580994042798784118767,0.012122,,0.02,0.554,UnsaturatedSolinas x64 (0)
23945242826029513411849172299223580994042798784118767,0.465171,,1.432,33.234,WordByWordMontgomery x32 
23945242826029513411849172299223580994042798784118767,0.046795,0.457,0.139,3.201,WordByWordMontgomery x64 
23945242826029513411849172299223580994042798784118781,0.038034,0.394,0.117,2.986,UnsaturatedSolinas x32 (0)
23945242826029513411849172299223580994042798784118781,0.006046,0.096,0.019,0.55,UnsaturatedSolinas x64 (0)
23945242826029513411849172299223580994042798784118781,0.459051,,1.423,31.199,WordByWordMontgomery x32 
23945242826029513411849172299223580994042798784118781,0.036165,0.444,0.139,3.27,WordByWordMontgomery x64 
784637716923335095479473677900958302012794430558004314087,0.044233,0.551,0.183,4.558,UnsaturatedSolinas x32 (0)
784637716923335095479473677900958302012794430558004314087,0.011104,0.137,0.04,1.076,UnsaturatedSolinas x64 (0)
784637716923335095479473677900958302012794430558004314087,0.425388,,1.412,31.377,WordByWordMontgomery x32 
784637716923335095479473677900958302012794430558004314087,0.035268,0.422,0.14,3.384,WordByWordMontgomery x64 
1569275433846670190958947355801916604025588861116008628213,0.044995,0.581,0.184,4.469,UnsaturatedSolinas x32 (0)
1569275433846670190958947355801916604025588861116008628213,0.010614,0.126,0.04,1.111,UnsaturatedSolinas x64 (0)
1569275433846670190958947355801916604025588861116008628213,0.417794,,1.423,32.95,WordByWordMontgomery x32 
1569275433846670190958947355801916604025588861116008628213,0.034602,0.442,0.14,3.176,WordByWordMontgomery x64 
3138550867693340381917894711603833208051177722232017256429,0.045895,0.574,0.186,4.487,UnsaturatedSolinas x32 (0)
3138550867693340381917894711603833208051177722232017256429,0.011452,0.135,0.043,1.088,UnsaturatedSolinas x64 (0)
3138550867693340381917894711603833208051177722232017256429,0.425606,,1.448,33.35,WordByWordMontgomery x32 
3138550867693340381917894711603833208051177722232017256429,0.041224,0.456,0.139,3.385,WordByWordMontgomery x64 
6277101735386680763835789423207666416083908700390324961279,,,,,UnsaturatedSolinas x32 (0)
6277101735386680763835789423207666416083908700390324961279,,,,,UnsaturatedSolinas x64 (0)
