prime,"PipelineFlatNBEOf with extraction OCaml using precomputed_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_naive (real, s)","PipelineNBEOf with vm_compute using BoundsPipeline (real, s)","GallinaAxOf with vm_compute using None (real, s)","GallinaAxOf with cbv using None (real, s)",extra info
170141183460469231731687303715884105727,0.020577,0.057784,0.226481,3.682,0.035,0.813,UnsaturatedSolinas x32 (0)
170141183460469231731687303715884105727,0.008180,0.022572,0.084551,1.448,0.012,0.35,UnsaturatedSolinas x64 (0)
170141183460469231731687303715884105727,0.102706,0.261665,1.044820,16.758,0.234,3.938,WordByWordMontgomery x32
170141183460469231731687303715884105727,0.012719,0.029316,0.112518,1.801,0.024,0.518,WordByWordMontgomery x64
680564733841876926926749214863536422887,0.020191,0.058747,0.225772,3.747,0.035,0.812,UnsaturatedSolinas x32 (0)
680564733841876926926749214863536422887,0.008051,0.022690,0.085115,1.459,0.013,0.334,UnsaturatedSolinas x64 (0)
680564733841876926926749214863536422887,0.251407,0.626200,2.453366,37.529,0.664,12.552,WordByWordMontgomery x32
680564733841876926926749214863536422887,0.047118,0.109431,0.408893,6.567,0.147,3.217,WordByWordMontgomery x64
1361129467683753853853498429727072845819,0.020586,0.061684,0.225687,3.691,0.035,0.814,UnsaturatedSolinas x32 (0)
1361129467683753853853498429727072845819,0.007962,0.023029,0.082726,1.394,0.013,0.329,UnsaturatedSolinas x64 (0)
1361129467683753853853498429727072845819,0.254499,0.632934,2.472658,37.976,0.676,12.616,WordByWordMontgomery x32
1361129467683753853853498429727072845819,0.046253,0.111819,0.413193,6.493,0.18,3.177,WordByWordMontgomery x64
174224571863520493293247799005065324265459,0.028748,0.087958,0.339958,5.686,0.06,1.329,UnsaturatedSolinas x32 (0)
174224571863520493293247799005065324265459,0.008203,0.022568,0.085566,1.464,0.014,0.362,UnsaturatedSolinas x64 (0)
174224571863520493293247799005065324265459,0.244170,0.608831,2.360905,39.004,0.66,12.554,WordByWordMontgomery x32
174224571863520493293247799005065324265459,0.044261,0.105643,0.402816,6.71,0.178,3.23,WordByWordMontgomery x64
1393796574908163946345982392040522594123749,0.028609,0.088040,0.342939,5.462,0.063,1.384,UnsaturatedSolinas x32 (0)
1393796574908163946345982392040522594123749,0.007889,0.022409,0.084684,1.441,0.015,0.372,UnsaturatedSolinas x64 (0)
1393796574908163946345982392040522594123749,0.250446,0.631668,2.466960,36.891,0.633,12.854,WordByWordMontgomery x32
1393796574908163946345982392040522594123749,0.047860,0.111577,0.420214,6.567,0.15,3.246,WordByWordMontgomery x64
2787593149816327892691964784081045188247543,0.028685,0.087412,0.337142,5.708,0.061,1.39,UnsaturatedSolinas x32 (0)
2787593149816327892691964784081045188247543,0.009027,0.022741,0.086330,1.386,0.015,0.372,UnsaturatedSolinas x64 (0)
2787593149816327892691964784081045188247543,0.258772,0.631142,2.461922,37.479,0.65,12.699,WordByWordMontgomery x32
2787593149816327892691964784081045188247543,0.047958,0.116174,0.421045,6.545,0.148,3.236,WordByWordMontgomery x64
1427247692705959881058285969449495136382746619,0.029483,0.088141,0.335108,5.495,0.068,1.685,UnsaturatedSolinas x32 (0)
1427247692705959881058285969449495136382746619,0.009628,0.022681,0.084980,1.437,0.016,0.414,UnsaturatedSolinas x64 (0)
1427247692705959881058285969449495136382746619,0.251212,0.632788,2.477515,37.765,0.659,12.834,WordByWordMontgomery x32
1427247692705959881058285969449495136382746619,0.046193,0.109998,0.411921,6.598,0.179,3.233,WordByWordMontgomery x64
1427247692705959881058285969449495136382746621,0.028776,0.089040,0.336016,5.622,0.067,1.552,UnsaturatedSolinas x32 (0)
