prime,user,real,kind,bitwidth,descr1,descr2,index,nlimbs,prime_str
170141183460469231731687303715884105727,0.032,0.033,UnsaturatedSolinas,32,GallinaAxOf,vm_compute,(0),5,2^127-1
170141183460469231731687303715884105727,0.012,0.217,UnsaturatedSolinas,32,GallinaAxOf,native_compute (1),(0),5,2^127-1
170141183460469231731687303715884105727,0.012,0.103,UnsaturatedSolinas,32,GallinaAxOf,native_compute (2),(0),5,2^127-1
170141183460469231731687303715884105727,0.891,0.946,UnsaturatedSolinas,32,GallinaAxOf,cbv,(0),5,2^127-1
170141183460469231731687303715884105727,1.167,1.175,UnsaturatedSolinas,32,GallinaAxOf,lazy,(0),5,2^127-1
170141183460469231731687303715884105727,0.164,0.2,UnsaturatedSolinas,32,GallinaAxComputedOf,vm_compute,(0),5,2^127-1
170141183460469231731687303715884105727,1.307,1.309,UnsaturatedSolinas,32,GallinaAxComputedOf,cbv,(0),5,2^127-1
170141183460469231731687303715884105727,1.7,1.696,UnsaturatedSolinas,32,GallinaAxComputedOf,lazy,(0),5,2^127-1
170141183460469231731687303715884105727,0.3,0.3,UnsaturatedSolinas,32,PipelineFullOf,vm_compute,(0),5,2^127-1
170141183460469231731687303715884105727,0.311,0.313,UnsaturatedSolinas,32,PipelineFullToStringsOf,vm_compute,(0),5,2^127-1
170141183460469231731687303715884105727,0.215,0.218,UnsaturatedSolinas,32,PipelineNBEOf,vm_compute,(0),5,2^127-1
170141183460469231731687303715884105727,0.215,0.216,UnsaturatedSolinas,32,PipelineArithOf,vm_compute,(0),5,2^127-1
170141183460469231731687303715884105727,5.336,208.808,UnsaturatedSolinas,32,PipelineFullOf,native_compute (1),(0),5,2^127-1
170141183460469231731687303715884105727,0.24,0.621,UnsaturatedSolinas,32,PipelineFullOf,native_compute (2),(0),5,2^127-1
170141183460469231731687303715884105727,0.608,5.712,UnsaturatedSolinas,32,PipelineFullToStringsOf,native_compute (1),(0),5,2^127-1
170141183460469231731687303715884105727,0.256,0.372,UnsaturatedSolinas,32,PipelineFullToStringsOf,native_compute (2),(0),5,2^127-1
170141183460469231731687303715884105727,0.192,0.529,UnsaturatedSolinas,32,PipelineNBEOf,native_compute (1),(0),5,2^127-1
170141183460469231731687303715884105727,0.243,0.402,UnsaturatedSolinas,32,PipelineNBEOf,native_compute (2),(0),5,2^127-1
170141183460469231731687303715884105727,0.259,0.669,UnsaturatedSolinas,32,PipelineArithOf,native_compute (1),(0),5,2^127-1
170141183460469231731687303715884105727,0.259,0.408,UnsaturatedSolinas,32,PipelineArithOf,native_compute (2),(0),5,2^127-1
170141183460469231731687303715884105727,5.076,5.105,UnsaturatedSolinas,32,PipelineFullOf,cbv,(0),5,2^127-1
170141183460469231731687303715884105727,6.267,6.3,UnsaturatedSolinas,32,PipelineFullToStringsOf,cbv,(0),5,2^127-1
170141183460469231731687303715884105727,4.224,4.294,UnsaturatedSolinas,32,PipelineNBEOf,cbv,(0),5,2^127-1
170141183460469231731687303715884105727,3.992,4.05,UnsaturatedSolinas,32,PipelineArithOf,cbv,(0),5,2^127-1
170141183460469231731687303715884105727,4.376,4.416,UnsaturatedSolinas,32,PipelineFullOf,lazy,(0),5,2^127-1
170141183460469231731687303715884105727,5.303,5.307,UnsaturatedSolinas,32,PipelineFullToStringsOf,lazy,(0),5,2^127-1
170141183460469231731687303715884105727,3.236,3.24,UnsaturatedSolinas,32,PipelineNBEOf,lazy,(0),5,2^127-1
170141183460469231731687303715884105727,3.032,3.034,UnsaturatedSolinas,32,PipelineArithOf,lazy,(0),5,2^127-1
170141183460469231731687303715884105727,0.771,0.773,UnsaturatedSolinas,32,GallinaDefOf,cbv_no_rt,(0),5,2^127-1
170141183460469231731687303715884105727,1.211,1.213,UnsaturatedSolinas,32,GallinaDefOf,lazy_no_rt,(0),5,2^127-1
170141183460469231731687303715884105727,0.052,0.049,UnsaturatedSolinas,32,GallinaAxOf,vm_compute,(1),6,2^127-1
170141183460469231731687303715884105727,0.02,0.229,UnsaturatedSolinas,32,GallinaAxOf,native_compute (1),(1),6,2^127-1
170141183460469231731687303715884105727,0.008,0.076,UnsaturatedSolinas,32,GallinaAxOf,native_compute (2),(1),6,2^127-1
170141183460469231731687303715884105727,1.224,1.271,UnsaturatedSolinas,32,GallinaAxOf,cbv,(1),6,2^127-1
170141183460469231731687303715884105727,1.739,1.737,UnsaturatedSolinas,32,GallinaAxOf,lazy,(1),6,2^127-1
170141183460469231731687303715884105727,0.204,0.23,UnsaturatedSolinas,32,GallinaAxComputedOf,vm_compute,(1),6,2^127-1
170141183460469231731687303715884105727,1.931,1.931,UnsaturatedSolinas,32,GallinaAxComputedOf,cbv,(1),6,2^127-1
170141183460469231731687303715884105727,2.54,2.537,UnsaturatedSolinas,32,GallinaAxComputedOf,lazy,(1),6,2^127-1
170141183460469231731687303715884105727,0.411,0.42,UnsaturatedSolinas,32,PipelineFullOf,vm_compute,(1),6,2^127-1
170141183460469231731687303715884105727,0.464,0.463,UnsaturatedSolinas,32,PipelineFullToStringsOf,vm_compute,(1),6,2^127-1
