       Time |    Peak Mem | File Name                                                                 
------------------------------------------------------------------------------------------------------
2905m28.73s | 27627924 ko | Total Time / Peak Mem                                                     
------------------------------------------------------------------------------------------------------
  26m23.04s | 27627924 ko | Specific/montgomery32_2e256m2e224p2e192p2e96m1_8limbs/femul.vo            
  20m13.81s |  6654256 ko | Specific/solinas32_2e512m569_25limbs/femul.vo                             
  16m23.03s | 16266392 ko | Specific/montgomery32_2e212m29_7limbs/femul.vo                            
  16m21.29s | 16311704 ko | Specific/montgomery32_2e206m5_7limbs/femul.vo                             
  16m18.09s | 16342472 ko | Specific/montgomery32_2e196m15_7limbs/femul.vo                            
  16m17.88s | 16317420 ko | Specific/montgomery32_2e216m2e108m1_7limbs/femul.vo                       
  16m16.59s | 16312276 ko | Specific/montgomery32_2e205m45x2e198m1_7limbs/femul.vo                    
  16m16.55s | 16289804 ko | Specific/montgomery32_2e194m33_7limbs/femul.vo                            
  16m16.38s | 16360924 ko | Specific/montgomery32_2e221m3_7limbs/femul.vo                             
  16m15.45s | 16315456 ko | Specific/montgomery32_2e222m117_7limbs/femul.vo                           
  16m11.61s | 16343640 ko | Specific/montgomery32_2e198m17_7limbs/femul.vo                            
  16m10.63s | 16381004 ko | Specific/montgomery32_2e224m2e96p1_7limbs/femul.vo                        
  14m17.12s | 15517740 ko | Specific/montgomery64_2e401m31_7limbs/femul.vo                            
  14m14.89s | 16304268 ko | Specific/montgomery64_2e389m21_7limbs/femul.vo                            
  14m14.82s | 16380960 ko | Specific/montgomery64_2e414m17_7limbs/femul.vo                            
  14m14.20s | 15645540 ko | Specific/montgomery64_2e448m2e224m1_7limbs/femul.vo                       
  14m13.05s | 16316132 ko | Specific/montgomery64_2e444m17_7limbs/femul.vo                            
  14m13.04s | 16316488 ko | Specific/montgomery64_2e413m21_7limbs/femul.vo                            
  14m10.25s | 15530700 ko | Specific/montgomery64_2e416m2e208m1_7limbs/femul.vo                       
  14m09.83s |  5509712 ko | Specific/solinas32_2e511m481_24limbs/femul.vo                             
  14m07.51s |  5508572 ko | Specific/solinas32_2e512m569_24limbs/femul.vo                             
  14m03.90s | 16312132 ko | Specific/montgomery32_2e213m3_7limbs/femul.vo                             
  11m51.77s |  6274820 ko | Specific/solinas32_2e512m569_25limbs/fesquare.vo                          
  11m32.00s |  1198892 ko | Specific/montgomery32_2e521m1_17limbs/Synthesis.vo                        
  11m25.94s |  5105196 ko | Specific/solinas32_2e511m187_23limbs/femul.vo                             
  11m14.43s |  5127320 ko | Specific/solinas32_2e511m481_23limbs/femul.vo                             
