src/Coqprime/Tactic/Tactic (real: 0.05, user: 0.02, sys: 0.02, mem: 58776 ko)
src/Coqprime/N/NatAux (real: 0.30, user: 0.20, sys: 0.09, mem: 306468 ko)
src/Coqprime/List/ListAux (real: 0.47, user: 0.35, sys: 0.12, mem: 402932 ko)
src/Coqprime/List/Permutation (real: 0.54, user: 0.41, sys: 0.13, mem: 404076 ko)
src/Coqprime/Z/ZCAux (real: 1.19, user: 1.07, sys: 0.12, mem: 440320 ko)
src/Coqprime/List/Iterator (real: 0.44, user: 0.33, sys: 0.11, mem: 404124 ko)
src/Coqprime/List/UList (real: 0.54, user: 0.44, sys: 0.10, mem: 404628 ko)
src/Coqprime/PrimalityTest/FGroup (real: 0.37, user: 0.23, sys: 0.14, mem: 373384 ko)
src/Coqprime/List/ZProgression (real: 0.56, user: 0.42, sys: 0.14, mem: 438932 ko)
src/Coqprime/PrimalityTest/Root (real: 0.87, user: 0.71, sys: 0.15, mem: 418764 ko)
src/Coqprime/PrimalityTest/IGroup (real: 0.53, user: 0.43, sys: 0.09, mem: 414916 ko)
src/Coqprime/PrimalityTest/Lagrange (real: 0.54, user: 0.40, sys: 0.13, mem: 415868 ko)
src/Coqprime/Z/ZSum (real: 0.95, user: 0.83, sys: 0.12, mem: 442348 ko)
src/Coqprime/PrimalityTest/Euler (real: 0.57, user: 0.44, sys: 0.12, mem: 439764 ko)
src/Coqprime/PrimalityTest/EGroup (real: 1.38, user: 1.26, sys: 0.12, mem: 447040 ko)
src/Coqprime/PrimalityTest/Cyclic (real: 0.88, user: 0.72, sys: 0.15, mem: 445376 ko)
src/Coqprime/PrimalityTest/Zp (real: 0.74, user: 0.57, sys: 0.16, mem: 445700 ko)
bbv/src/bbv/ReservedNotations.vo (real: 0.11, user: 0.06, sys: 0.05, mem: 76980 ko)
bbv/src/bbv/DepEqNat.vo (real: 0.13, user: 0.08, sys: 0.05, mem: 100404 ko)
bbv/src/bbv/DepEq.vo (real: 0.21, user: 0.14, sys: 0.07, mem: 175680 ko)
bbv/src/bbv/BinNotation.vo (real: 0.36, user: 0.23, sys: 0.13, mem: 296056 ko)
bbv/src/bbv/HexNotation.vo (real: 0.37, user: 0.25, sys: 0.11, mem: 312696 ko)
bbv/src/bbv/N_Z_nat_conversions.vo (real: 0.43, user: 0.28, sys: 0.14, mem: 354020 ko)
bbv/src/bbv/Nomega.vo (real: 0.55, user: 0.37, sys: 0.17, mem: 435552 ko)
bbv/src/bbv/NLib.vo (real: 0.35, user: 0.22, sys: 0.13, mem: 287844 ko)
src/Util/GlobalSettings.vo (real: 0.11, user: 0.05, sys: 0.06, mem: 75736 ko)
src/Util/Isomorphism.vo (real: 0.11, user: 0.07, sys: 0.04, mem: 77044 ko)
src/Util/HProp.vo (real: 0.14, user: 0.08, sys: 0.06, mem: 106464 ko)
src/Util/IffT.vo (real: 0.13, user: 0.07, sys: 0.05, mem: 96956 ko)
bbv/src/bbv/ZLib.vo (real: 0.87, user: 0.67, sys: 0.19, mem: 479884 ko)
src/Util/Pointed.vo (real: 0.14, user: 0.07, sys: 0.06, mem: 100772 ko)
src/Util/Tactics/Test.vo (real: 0.11, user: 0.05, sys: 0.06, mem: 75496 ko)
src/Util/Tactics/GetGoal.vo (real: 0.11, user: 0.07, sys: 0.03, mem: 75796 ko)
src/Algebra/Nsatz.vo (real: 0.85, user: 0.64, sys: 0.20, mem: 489268 ko)
src/Util/Bool.vo (real: 0.16, user: 0.09, sys: 0.06, mem: 129460 ko)
src/Util/ZUtil/Tactics/CompareToSgn.vo (real: 0.37, user: 0.27, sys: 0.10, mem: 302988 ko)
src/Util/Tactics/Contains.vo (real: 0.11, user: 0.05, sys: 0.05, mem: 75940 ko)
src/Util/ZUtil/Hints/Core.vo (real: 0.57, user: 0.41, sys: 0.15, mem: 422428 ko)
