src/Specific/NISTP256/AMD128/fenzDisplay.log (real: 2.40, user: 2.07, sys: 0.32, mem: 721684 ko)
src/Specific/NISTP256/AMD128/feoppDisplay.log (real: 2.72, user: 2.50, sys: 0.22, mem: 722508 ko)
src/Specific/NISTP256/AMD128/feaddDisplay.log (real: 3.04, user: 2.73, sys: 0.30, mem: 724272 ko)
src/Specific/NISTP256/AMD128/fesubDisplay.log (real: 3.05, user: 2.79, sys: 0.24, mem: 724344 ko)
src/Specific/NISTP256/AMD128/femulDisplay.log (real: 3.36, user: 3.12, sys: 0.24, mem: 728428 ko)
src/Specific/NISTP256/AMD64/fenzDisplay.log (real: 2.31, user: 2.02, sys: 0.29, mem: 721444 ko)
src/Specific/NISTP256/AMD64/feaddDisplay.log (real: 3.11, user: 2.81, sys: 0.30, mem: 724808 ko)
src/Specific/NISTP256/AMD64/feoppDisplay.log (real: 2.77, user: 2.55, sys: 0.21, mem: 723580 ko)
src/Specific/NISTP256/AMD64/fesubDisplay.log (real: 3.11, user: 2.81, sys: 0.29, mem: 725008 ko)
src/Specific/NISTP256/AMD64/femulDisplay.log (real: 4.81, user: 4.52, sys: 0.27, mem: 739992 ko)
src/Specific/X25519/C32/feaddDisplay.log (real: 2.18, user: 1.88, sys: 0.29, mem: 725260 ko)
src/Specific/X25519/C32/fecarryDisplay.log (real: 2.62, user: 2.31, sys: 0.30, mem: 728140 ko)
src/Specific/X2448/Karatsuba/C64/femulDisplay.log (real: 4.32, user: 4.01, sys: 0.31, mem: 740300 ko)
src/Specific/X25519/C32/fesubDisplay.log (real: 2.37, user: 2.14, sys: 0.23, mem: 726064 ko)
src/Specific/X25519/C32/freezeDisplay.log (real: 3.04, user: 2.72, sys: 0.31, mem: 731084 ko)
src/Specific/X25519/C32/femulDisplay.log (real: 5.22, user: 4.93, sys: 0.29, mem: 745644 ko)
src/Specific/X25519/C64/feaddDisplay.log (real: 2.11, user: 1.85, sys: 0.25, mem: 724408 ko)
src/Specific/X25519/C32/fesquareDisplay.log (real: 4.67, user: 4.40, sys: 0.26, mem: 739052 ko)
src/Specific/X25519/C64/fecarryDisplay.log (real: 2.33, user: 2.04, sys: 0.29, mem: 725736 ko)
src/Specific/X25519/C64/fesubDisplay.log (real: 2.16, user: 1.87, sys: 0.28, mem: 724824 ko)
src/Specific/X25519/C64/femulDisplay.log (real: 2.89, user: 2.62, sys: 0.26, mem: 729428 ko)
src/Specific/X25519/C64/fesquareDisplay.log (real: 2.70, user: 2.49, sys: 0.20, mem: 727772 ko)
src/Specific/montgomery32_2e127m1_4limbs/CurveParameters.vo (real: 0.56, user: 0.39, sys: 0.16, mem: 411104 ko)
src/Specific/X25519/C64/freezeDisplay.log (real: 2.65, user: 2.35, sys: 0.30, mem: 726832 ko)
src/Specific/montgomery32_2e129m25_5limbs/CurveParameters.vo (real: 0.53, user: 0.38, sys: 0.15, mem: 411360 ko)
src/Specific/montgomery32_2e130m5_5limbs/CurveParameters.vo (real: 0.54, user: 0.40, sys: 0.13, mem: 410928 ko)
src/Specific/montgomery32_2e137m13_5limbs/CurveParameters.vo (real: 0.53, user: 0.34, sys: 0.18, mem: 411152 ko)
src/Specific/montgomery32_2e140m27_5limbs/CurveParameters.vo (real: 0.52, user: 0.36, sys: 0.15, mem: 411216 ko)
src/Specific/montgomery32_2e141m9_5limbs/CurveParameters.vo (real: 0.52, user: 0.36, sys: 0.15, mem: 411024 ko)
