         Time |    Peak Mem | File Name                                                                 
--------------------------------------------------------------------------------------------------------
117468m30.95s | 35052252 ko | Total Time / Peak Mem                                                     
--------------------------------------------------------------------------------------------------------
 13460m24.01s |  1060240 ko | Specific/montgomery32_2e266m3_9limbs/fesub.vo                             
 13394m33.32s |  1085024 ko | Specific/montgomery32_2e285m9_9limbs/fesub.vo                             
 12669m28.25s |  1137000 ko | Specific/montgomery64_2e521m1_9limbs/fesub.vo                             
  7870m48.68s |   912784 ko | Specific/montgomery32_2e285m9_9limbs/feopp.vo                             
  7802m15.69s |   945308 ko | Specific/montgomery32_2e266m3_9limbs/feopp.vo                             
  7068m36.13s |  1002864 ko | Specific/montgomery64_2e521m1_9limbs/feopp.vo                             
  1293m02.56s |  1013136 ko | Specific/montgomery32_2e226m5_8limbs/fesub.vo                             
  1290m34.39s |  1012836 ko | Specific/montgomery32_2e230m27_8limbs/fesub.vo                            
  1285m41.99s |  1012880 ko | Specific/montgomery32_2e251m9_8limbs/fesub.vo                             
  1281m43.93s |  1005272 ko | Specific/montgomery32_2e243m9_8limbs/fesub.vo                             
  1267m39.31s |  1018228 ko | Specific/montgomery32_2e235m15_8limbs/fesub.vo                            
  1232m19.96s |  1012216 ko | Specific/montgomery32_2e255m19_8limbs/fesub.vo                            
  1224m12.52s |  1017984 ko | Specific/montgomery32_2e254m127x2e240m1_8limbs/fesub.vo                   
  1210m49.74s |  1016212 ko | Specific/montgomery64_2e511m481_8limbs/fesub.vo                           
  1210m44.31s |  1029304 ko | Specific/montgomery64_2e510m290x2e496m1_8limbs/fesub.vo                   
  1210m12.56s |  1023256 ko | Specific/montgomery64_2e511m187_8limbs/fesub.vo                           
  1198m31.92s |  1024180 ko | Specific/montgomery64_2e495m31_8limbs/fesub.vo                            
  1194m17.48s |  1019108 ko | Specific/montgomery64_2e489m21_8limbs/fesub.vo                            
  1187m18.36s |  1026844 ko | Specific/montgomery64_2e512m491x2e496m1_8limbs/fesub.vo                   
  1186m31.89s |  1012332 ko | Specific/montgomery64_2e480m2e240m1_8limbs/fesub.vo                       
  1183m37.24s |  1029240 ko | Specific/montgomery64_2e452m3_8limbs/fesub.vo                             
  1183m10.05s |  1028160 ko | Specific/montgomery64_2e468m17_8limbs/fesub.vo                            
  1182m19.70s |  1014612 ko | Specific/montgomery64_2e450m2e225m1_8limbs/fesub.vo                       
  1181m31.55s |  1022064 ko | Specific/montgomery64_2e488m17_8limbs/fesub.vo                            
  1181m06.74s |  1012360 ko | Specific/montgomery32_2e255m765_8limbs/fesub.vo                           
  1179m13.97s |  1012832 ko | Specific/montgomery32_2e256m88x2e240m1_8limbs/fesub.vo                    
  1179m06.81s |  1013208 ko | Specific/montgomery32_2e256m2e224p2e192p2e96m1_8limbs/fesub.vo            
  1168m34.95s |  1018736 ko | Specific/montgomery32_2e256m2e32m977_8limbs/fesub.vo                      
  1167m42.41s |  1025680 ko | Specific/montgomery32_2e256m4294968273_8limbs/fesub.vo                    
  1166m29.83s |  1012448 ko | Specific/montgomery32_2e256m189_8limbs/fesub.vo                           
  1138m47.84s |  1026528 ko | Specific/montgomery64_2e512m569_8limbs/fesub.vo                           
   754m00.86s |   944364 ko | Specific/montgomery32_2e226m5_8limbs/feopp.vo                             
   752m37.52s |   943672 ko | Specific/montgomery32_2e230m27_8limbs/feopp.vo                            
   752m20.25s |   944736 ko | Specific/montgomery32_2e235m15_8limbs/feopp.vo                            
   746m28.84s |   944520 ko | Specific/montgomery32_2e243m9_8limbs/feopp.vo                             
   745m03.83s |   943600 ko | Specific/montgomery32_2e251m9_8limbs/feopp.vo                             
   744m25.79s |   944788 ko | Specific/montgomery32_2e254m127x2e240m1_8limbs/feopp.vo                   
   737m33.33s |   944976 ko | Specific/montgomery32_2e255m19_8limbs/feopp.vo                            
   718m37.87s |   944932 ko | Specific/montgomery32_2e255m765_8limbs/feopp.vo                           
   717m36.12s |   988156 ko | Specific/montgomery64_2e512m569_8limbs/feopp.vo                           
   717m12.53s |   991224 ko | Specific/montgomery64_2e511m481_8limbs/feopp.vo                           
   716m36.31s |   994016 ko | Specific/montgomery64_2e512m491x2e496m1_8limbs/feopp.vo                   
   714m37.85s |   966676 ko | Specific/montgomery64_2e511m187_8limbs/feopp.vo                           
   705m48.28s |   993172 ko | Specific/montgomery64_2e510m290x2e496m1_8limbs/feopp.vo                   
   702m54.28s |   998960 ko | Specific/montgomery64_2e495m31_8limbs/feopp.vo                            
   701m53.35s |   997148 ko | Specific/montgomery64_2e488m17_8limbs/feopp.vo                            
   700m17.23s |   991484 ko | Specific/montgomery64_2e452m3_8limbs/feopp.vo                             
   700m00.31s |   987828 ko | Specific/montgomery64_2e468m17_8limbs/feopp.vo                            
   699m51.59s |   988808 ko | Specific/montgomery64_2e450m2e225m1_8limbs/feopp.vo                       
   699m24.52s |   945340 ko | Specific/montgomery64_2e489m21_8limbs/feopp.vo                            
   698m22.83s |   988572 ko | Specific/montgomery64_2e480m2e240m1_8limbs/feopp.vo                       
   690m01.26s |   944220 ko | Specific/montgomery32_2e256m2e32m977_8limbs/feopp.vo                      
   687m48.75s |   944932 ko | Specific/montgomery32_2e256m189_8limbs/feopp.vo                           
   683m55.82s |   944600 ko | Specific/montgomery32_2e256m88x2e240m1_8limbs/feopp.vo                    
   680m44.02s |   944560 ko | Specific/montgomery32_2e256m2e224p2e192p2e96m1_8limbs/feopp.vo            
   678m23.95s |   944376 ko | Specific/montgomery32_2e256m4294968273_8limbs/feopp.vo                    
    96m55.01s |   988232 ko | Specific/montgomery64_2e413m21_7limbs/fesub.vo                            
    96m45.73s |   966500 ko | Specific/montgomery64_2e448m2e224m1_7limbs/fesub.vo                       
    96m41.09s |   956328 ko | Specific/montgomery64_2e444m17_7limbs/fesub.vo                            
    96m35.42s |   991664 ko | Specific/montgomery64_2e416m2e208m1_7limbs/fesub.vo                       
    96m20.09s |   988508 ko | Specific/montgomery64_2e414m17_7limbs/fesub.vo                            
    96m17.04s |   970784 ko | Specific/montgomery64_2e401m31_7limbs/fesub.vo                            
    96m09.82s |   966656 ko | Specific/montgomery64_2e389m21_7limbs/fesub.vo                            
    93m17.27s |   956512 ko | Specific/montgomery32_2e216m2e108m1_7limbs/fesub.vo                       
    92m57.07s |   987568 ko | Specific/montgomery32_2e196m15_7limbs/fesub.vo                            
    92m52.72s |   969708 ko | Specific/montgomery32_2e205m45x2e198m1_7limbs/fesub.vo                    
    92m50.58s |   959580 ko | Specific/montgomery32_2e213m3_7limbs/fesub.vo                             
    92m46.84s |   966528 ko | Specific/montgomery32_2e221m3_7limbs/fesub.vo                             
    92m40.80s |   959604 ko | Specific/montgomery32_2e206m5_7limbs/fesub.vo                             
    92m27.83s |   966336 ko | Specific/montgomery32_2e212m29_7limbs/fesub.vo                            
    92m25.94s |   990928 ko | Specific/montgomery32_2e198m17_7limbs/fesub.vo                            
    92m19.61s |   988540 ko | Specific/montgomery32_2e222m117_7limbs/fesub.vo                           
    91m38.81s |   987548 ko | Specific/montgomery32_2e194m33_7limbs/fesub.vo                            
    91m32.45s |   955656 ko | Specific/montgomery32_2e224m2e96p1_7limbs/fesub.vo                        
    59m22.36s |   940108 ko | Specific/montgomery64_2e416m2e208m1_7limbs/feopp.vo                       
    59m16.62s |   940116 ko | Specific/montgomery64_2e448m2e224m1_7limbs/feopp.vo                       
    59m15.18s |   943656 ko | Specific/montgomery64_2e414m17_7limbs/feopp.vo                            
    59m12.30s |   936252 ko | Specific/montgomery64_2e401m31_7limbs/feopp.vo                            
    59m03.39s |   942956 ko | Specific/montgomery64_2e413m21_7limbs/feopp.vo                            
    58m58.87s |   939608 ko | Specific/montgomery64_2e389m21_7limbs/feopp.vo                            
    58m55.29s |   943072 ko | Specific/montgomery64_2e444m17_7limbs/feopp.vo                            
    57m03.46s |   899584 ko | Specific/montgomery32_2e205m45x2e198m1_7limbs/feopp.vo                    
    57m01.30s |   895700 ko | Specific/montgomery32_2e213m3_7limbs/feopp.vo                             
    56m52.74s |   895256 ko | Specific/montgomery32_2e216m2e108m1_7limbs/feopp.vo                       
    56m41.21s |   895276 ko | Specific/montgomery32_2e221m3_7limbs/feopp.vo                             
    56m39.96s |   897112 ko | Specific/montgomery32_2e198m17_7limbs/feopp.vo                            
    56m28.07s |   897296 ko | Specific/montgomery32_2e206m5_7limbs/feopp.vo                             
    56m24.79s |   895256 ko | Specific/montgomery32_2e212m29_7limbs/feopp.vo                            
    56m24.23s |   896520 ko | Specific/montgomery32_2e222m117_7limbs/feopp.vo                           
    55m56.36s |   893296 ko | Specific/montgomery32_2e224m2e96p1_7limbs/feopp.vo                        
    55m31.34s |   893144 ko | Specific/montgomery32_2e196m15_7limbs/feopp.vo                            
    55m15.48s |   893104 ko | Specific/montgomery32_2e194m33_7limbs/feopp.vo                            
    46m56.74s | 34250948 ko | Specific/montgomery32_2e256m2e32m977_8limbs/femul.vo                      
    46m55.75s | 34221124 ko | Specific/montgomery32_2e256m4294968273_8limbs/femul.vo                    
    46m52.58s | 34212816 ko | Specific/montgomery32_2e255m19_8limbs/femul.vo                            
    46m51.81s | 33516236 ko | Specific/montgomery32_2e256m2e224p2e192p2e96m1_8limbs/femul.vo            
    46m25.77s | 34205884 ko | Specific/montgomery32_2e256m189_8limbs/femul.vo                           
    46m13.73s | 33749332 ko | Specific/montgomery32_2e251m9_8limbs/femul.vo                             
    46m04.26s | 34271632 ko | Specific/montgomery32_2e243m9_8limbs/femul.vo                             
    46m03.50s | 34150476 ko | Specific/montgomery32_2e254m127x2e240m1_8limbs/femul.vo                   
    44m14.77s | 34195092 ko | Specific/montgomery32_2e255m765_8limbs/femul.vo                           
    43m43.60s | 34256168 ko | Specific/montgomery32_2e256m88x2e240m1_8limbs/femul.vo                    
    42m58.62s | 34200996 ko | Specific/montgomery32_2e235m15_8limbs/femul.vo                            
    42m24.38s | 34815948 ko | Specific/montgomery32_2e230m27_8limbs/femul.vo                            
    39m18.37s | 33697936 ko | Specific/montgomery64_2e480m2e240m1_8limbs/femul.vo                       
    39m17.26s | 33861684 ko | Specific/montgomery64_2e489m21_8limbs/femul.vo                            
    39m15.71s | 33847560 ko | Specific/montgomery64_2e450m2e225m1_8limbs/femul.vo                       
    39m15.20s | 34569064 ko | Specific/montgomery64_2e452m3_8limbs/femul.vo                             
    39m13.60s | 34392332 ko | Specific/montgomery64_2e468m17_8limbs/femul.vo                            
    37m31.78s | 33897028 ko | Specific/montgomery64_2e495m31_8limbs/femul.vo                            
    37m22.32s | 34360480 ko | Specific/montgomery64_2e510m290x2e496m1_8limbs/femul.vo                   
    37m04.79s | 34385332 ko | Specific/montgomery64_2e512m491x2e496m1_8limbs/femul.vo                   
    37m00.39s | 34521992 ko | Specific/montgomery64_2e511m187_8limbs/femul.vo                           
    36m26.38s | 34865884 ko | Specific/montgomery32_2e226m5_8limbs/femul.vo                             
    36m20.98s | 35052252 ko | Specific/montgomery64_2e488m17_8limbs/femul.vo                            
    34m02.05s | 34991552 ko | Specific/montgomery64_2e511m481_8limbs/femul.vo                           
    32m36.81s | 34523628 ko | Specific/montgomery64_2e512m569_8limbs/femul.vo                           
    24m23.22s | 19319152 ko | Specific/montgomery64_2e389m21_7limbs/femul.vo                            
    21m44.74s | 19296248 ko | Specific/montgomery32_2e205m45x2e198m1_7limbs/femul.vo                    
    21m41.95s | 19002384 ko | Specific/montgomery32_2e206m5_7limbs/femul.vo                             
    21m41.46s | 19390552 ko | Specific/montgomery64_2e401m31_7limbs/femul.vo                            
    21m32.78s | 19264932 ko | Specific/montgomery32_2e213m3_7limbs/femul.vo                             
    21m30.63s | 19294252 ko | Specific/montgomery32_2e216m2e108m1_7limbs/femul.vo                       
    21m23.98s | 19052752 ko | Specific/montgomery32_2e212m29_7limbs/femul.vo                            
    21m22.19s | 18990852 ko | Specific/montgomery32_2e222m117_7limbs/femul.vo                           
    21m14.65s | 19183064 ko | Specific/montgomery32_2e224m2e96p1_7limbs/femul.vo                        
    21m04.47s | 19441176 ko | Specific/montgomery64_2e413m21_7limbs/femul.vo                            
    20m33.41s | 19326576 ko | Specific/montgomery32_2e196m15_7limbs/femul.vo                            
    20m12.62s | 19311808 ko | Specific/montgomery32_2e194m33_7limbs/femul.vo                            
    20m03.79s | 19446056 ko | Specific/montgomery64_2e414m17_7limbs/femul.vo                            
    20m00.11s | 19404856 ko | Specific/montgomery64_2e444m17_7limbs/femul.vo                            
    19m57.35s | 19324436 ko | Specific/montgomery64_2e416m2e208m1_7limbs/femul.vo                       
    19m56.19s | 19407872 ko | Specific/montgomery64_2e448m2e224m1_7limbs/femul.vo                       
    19m43.17s | 19007756 ko | Specific/montgomery32_2e221m3_7limbs/femul.vo                             
    19m10.01s | 19313044 ko | Specific/montgomery32_2e198m17_7limbs/femul.vo                            
    16m30.02s |  6863540 ko | Specific/solinas32_2e512m569_25limbs/femul.vo                             
    14m21.21s |  9668600 ko | Specific/solinas32_2e480m2e240m1_20limbs/femul.vo                         
    14m17.27s | 10394876 ko | Specific/solinas32_2e450m2e225m1_20limbs/femul.vo                         
    12m53.46s | 10196760 ko | Specific/solinas32_2e450m2e225m1_20limbs/fesquare.vo                      
    12m20.64s | 10196968 ko | Specific/solinas32_2e480m2e240m1_20limbs/fesquare.vo                      
    12m05.88s |  5993964 ko | Specific/solinas32_2e512m569_25limbs/fesquare.vo                          
    12m04.57s |  1380328 ko | Specific/montgomery32_2e521m1_17limbs/Synthesis.vo                        
    11m53.58s |  5939784 ko | Specific/solinas32_2e511m481_24limbs/femul.vo                             
    11m31.82s |  5916040 ko | Specific/solinas32_2e512m569_24limbs/femul.vo                             
    10m36.23s | 10244840 ko | Specific/montgomery64_2e338m15_6limbs/femul.vo                            
    10m36.09s | 10319648 ko | Specific/montgomery64_2e383m187_6limbs/femul.vo                           
    10m35.34s | 10244600 ko | Specific/montgomery64_2e382m105_6limbs/femul.vo                           
    10m35.22s | 10257512 ko | Specific/montgomery64_2e379m19_6limbs/femul.vo                            
    10m34.60s | 10244164 ko | Specific/montgomery64_2e369m25_6limbs/femul.vo                            
    10m34.36s | 10322528 ko | Specific/montgomery64_2e384m79x2e376m1_6limbs/femul.vo                    
    10m33.75s | 10318744 ko | Specific/montgomery64_2e384m317_6limbs/femul.vo                           
    10m33.72s | 10338072 ko | Specific/montgomery64_2e383m31_6limbs/femul.vo                            
    10m32.43s | 10339984 ko | Specific/montgomery64_2e384m5x2e368m1_6limbs/femul.vo                     
    10m30.41s | 10264400 ko | Specific/montgomery64_2e384m2e128m2e96p2e32m1_6limbs/femul.vo             
     9m53.95s | 10321116 ko | Specific/montgomery64_2e383m421_6limbs/femul.vo                           
     9m49.66s | 10272780 ko | Specific/montgomery64_2e322m2e161m1_6limbs/femul.vo                       
     9m45.31s | 10280868 ko | Specific/montgomery32_2e174m3_6limbs/femul.vo                             
     9m44.32s | 10202864 ko | Specific/montgomery32_2e166m5_6limbs/femul.vo                             
     9m43.91s | 10254580 ko | Specific/montgomery32_2e192m2e64m1_6limbs/femul.vo                        
     9m43.30s | 10208996 ko | Specific/montgomery32_2e171m19_6limbs/femul.vo                            
     9m40.73s | 10275164 ko | Specific/montgomery64_2e336m17_6limbs/femul.vo                            
     9m40.61s | 10208428 ko | Specific/montgomery32_2e190m11_6limbs/femul.vo                            
     9m39.89s | 10346452 ko | Specific/montgomery64_2e336m3_6limbs/femul.vo                             
     9m39.50s | 10303252 ko | Specific/montgomery32_2e165m25_6limbs/femul.vo                            
     9m38.64s | 10203848 ko | Specific/montgomery32_2e189m25_6limbs/femul.vo                            
     9m36.70s |  5283136 ko | Specific/solinas32_2e511m481_23limbs/femul.vo                             
     9m35.87s |  1959688 ko | Experiments/SimplyTypedArithmetic.vo                                      
     9m35.33s | 10271968 ko | Specific/montgomery64_2e321m9_6limbs/femul.vo                             
     9m34.53s |  5372916 ko | Specific/solinas32_2e511m187_23limbs/femul.vo                             
     9m20.58s |  7768232 ko | Specific/solinas32_2e416m2e208m1_18limbs/femul.vo                         
     9m18.42s |  3098576 ko | Curves/Weierstrass/AffineProofs.vo                                        
     9m03.78s |  7768396 ko | Specific/solinas32_2e480m2e240m1_18limbs/femul.vo                         
     9m03.39s |  1265584 ko | Specific/montgomery32_2e510m290x2e496m1_16limbs/Synthesis.vo              
     9m01.41s |  7764740 ko | Specific/solinas32_2e448m2e224m1_18limbs/femul.vo                         
     9m00.52s |  1229544 ko | Specific/montgomery32_2e489m21_16limbs/Synthesis.vo                       
     8m56.20s |  7750060 ko | Specific/solinas32_2e450m2e225m1_18limbs/femul.vo                         
     8m55.31s |  1149748 ko | Specific/montgomery32_2e511m187_16limbs/Synthesis.vo                      
     8m54.81s |  1233964 ko | Specific/montgomery32_2e488m17_16limbs/Synthesis.vo                       
     8m54.54s | 10243340 ko | Specific/montgomery32_2e174m17_6limbs/femul.vo                            
     8m53.09s |  1234416 ko | Specific/montgomery32_2e495m31_16limbs/Synthesis.vo                       
     8m51.94s |  1242816 ko | Specific/montgomery32_2e511m481_16limbs/Synthesis.vo                      
