      After |    Peak Mem | File Name                                                                  |        Before |    Peak Mem ||         Change || Change (mem) | % Change | % Change (mem)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
3848m08.61s | 34416932 ko | Total Time / Peak Mem                                                      | 117468m30.95s | 35052252 ko || -113620m22.33s ||   -635320 ko |  -96.72% |         -1.81%
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0m48.51s |  1059468 ko | Specific/montgomery32_2e266m3_9limbs/fesub.vo                              |  13460m24.01s |  1060240 ko ||  -13459m35.50s ||      -772 ko |  -99.99% |         -0.07%
   0m48.17s |  1065924 ko | Specific/montgomery32_2e285m9_9limbs/fesub.vo                              |  13394m33.32s |  1085024 ko ||  -13393m45.14s ||    -19100 ko |  -99.99% |         -1.76%
   0m56.02s |  1108248 ko | Specific/montgomery64_2e521m1_9limbs/fesub.vo                              |  12669m28.25s |  1137000 ko ||  -12668m32.22s ||    -28752 ko |  -99.99% |         -2.52%
   0m29.03s |   869640 ko | Specific/montgomery32_2e285m9_9limbs/feopp.vo                              |   7870m48.68s |   912784 ko ||   -7870m19.64s ||    -43144 ko |  -99.99% |         -4.72%
   0m29.18s |   873084 ko | Specific/montgomery32_2e266m3_9limbs/feopp.vo                              |   7802m15.69s |   945308 ko ||   -7801m46.51s ||    -72224 ko |  -99.99% |         -7.64%
   0m32.32s |   902920 ko | Specific/montgomery64_2e521m1_9limbs/feopp.vo                              |   7068m36.13s |  1002864 ko ||   -7068m03.80s ||    -99944 ko |  -99.99% |         -9.96%
   0m39.50s |   951696 ko | Specific/montgomery32_2e226m5_8limbs/fesub.vo                              |   1293m02.56s |  1013136 ko ||   -1292m23.05s ||    -61440 ko |  -99.94% |         -6.06%
   0m39.64s |   957584 ko | Specific/montgomery32_2e230m27_8limbs/fesub.vo                             |   1290m34.39s |  1012836 ko ||   -1289m54.75s ||    -55252 ko |  -99.94% |         -5.45%
   0m40.20s |   968552 ko | Specific/montgomery32_2e251m9_8limbs/fesub.vo                              |   1285m41.99s |  1012880 ko ||   -1285m01.79s ||    -44328 ko |  -99.94% |         -4.37%
